Common_Name,Scientific_Name,Family,Conservation_Status
Blue Whale,Balaenoptera musculus,Balaenopteridae,Endangered
Great White Shark,Carcharodon carcharias,Lamnidae,Vulnerable
Green Sea Turtle,Chelonia mydas,Cheloniidae,Endangered
Clownfish,Amphiprion ocellaris,Pomacentridae,Least Concern
Atlantic Cod,Gadus morhua,Gadidae,Vulnerable
